subdir;mode;model;risk_score;diffs_n;high;medium;low;confidence;winner
10_LOMEXIN__TERLOMEXIN_fenticonazole_-_Candidoses_der;NORMAL;models/gemini-3-flash-preview;9.0;5;3;2;0;0.98;GPT
1119_MINJUVI_tafasitamab_-_Lymphome;NORMAL;models/gemini-3-flash-preview;8.0;4;3;1;0;0.98;GPT
1031_CEZIBOE_cétrorélix_acétate_de_-_antagoniste_de_la_;NORMAL;models/gemini-3-flash-preview;8.0;4;3;1;0;0.95;GPT
1030_VORAXAZE_Glucarpidase_-_réduction_de_la_concentrat;NORMAL;models/gemini-3-flash-preview;8.0;5;2;3;0;0.95;GPT
1105_LENVIMA_lenvatinib_-_Carcinome_endométrial;NORMAL;models/gemini-3-flash-preview;8.0;5;2;3;0;0.95;GPT
1017_TREMFYA_guselkumab_-_Psoriasis_en_plaques_de_ladul;NORMAL;models/gemini-3-flash-preview;7.5;4;3;0;1;0.98;GPT
1037_IMETH_méthotrexate_disodique_-_Maladie_de_Crohn;NORMAL;models/gemini-3-flash-preview;7.5;5;2;2;1;0.85;GPT
1088_TADALAFIL_MYLAN_tadalafil_-_Troubles_de_lérection_;NORMAL;models/gemini-3-flash-preview;7.5;5;2;2;1;0.95;GPT
1043_ULTOMIRIS_ravulizumab_-_Hémoglobinurie_paroxystiqu;NORMAL;models/gemini-3-flash-preview;7.5;5;2;2;1;0.85;GPT
1051_ROTATEQ_Vaccin_rotavirus_vivant_-_Immunisation_act;NORMAL;models/gemini-3-flash-preview;7.0;4;2;2;0;0.9;DeepSeek
1080_KAFTRIO_élexacaftor_ivacaftor_tezacaftor_-_Mucovis;NORMAL;models/gemini-3-flash-preview;7.0;4;2;2;0;0.95;GPT
1073_RONAPREVE_casirivimab__imdévimab_-_Prévention_de_l;NORMAL;models/gemini-3-flash-preview;7.0;4;2;2;0;0.9;GPT
1071_RYBREVANT_amivantamab_-_CBNPC_avancé_avec_mutation;NORMAL;models/gemini-3-flash-preview;7.0;4;2;2;0;0.9;GPT
1058_EVUSHELD_tixagévimabcilgavimab_-_COVID-19;NORMAL;models/gemini-3-flash-preview;7.0;4;2;2;0;0.95;GPT
1101_VAXELIS_vaccin_diphtérique_tétanique_coquelucheux_;NORMAL;models/gemini-3-flash-preview;7.0;4;2;2;0;0.85;DeepSeek
1052_LOVENOX_énoxaparine_sodique_-_TVPEP_chez_les_patie;NORMAL;models/gemini-3-flash-preview;7.0;4;2;2;0;0.95;GPT
1077_XEVUDY_sotrovimab_-_Covid-19;NORMAL;models/gemini-3-flash-preview;6.5;4;2;1;1;0.95;GPT
1087_CHLORHEXIDINE_BIOGARAN_digluconate_de_chlorhexidin;NORMAL;models/gemini-3-flash-preview;6.5;4;2;1;1;0.85;DeepSeek
1047_BUPENSAN_Buprénorphine__-_Pharmacodépendance_aux_o;NORMAL;models/gemini-3-flash-preview;6.5;4;2;1;1;0.95;GPT
